2024-1-8 10:36:07-log: Cannot access game frame or container.
2024-1-8 10:36:07-debug: asset-db:require-engine-code (1627ms)
2024-1-8 10:36:08-log: Cocos Creator v3.8.1
2024-1-8 10:36:08-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:15.60MB, end 92.59MB, increase: 76.99MB
2024-1-8 10:36:09-debug: [Assets Memory track]: asset-db-plugin-register: programming start:93.18MB, end 96.77MB, increase: 3.58MB
2024-1-8 10:36:09-debug: [Assets Memory track]: asset-db-plugin-enable: project start:96.99MB, end 100.39MB, increase: 3.40MB
2024-1-8 10:36:09-debug: [Assets Memory track]: asset-db-plugin-register: engine-extends start:96.82MB, end 100.38MB, increase: 3.57MB
2024-1-8 10:36:09-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:92.59MB, end 100.39MB, increase: 7.80MB
2024-1-8 10:36:09-debug: asset-db:worker-init: initPlugin (442ms)
2024-1-8 10:36:09-debug: [Assets Memory track]: asset-db:worker-init start:15.60MB, end 94.47MB, increase: 78.88MB
2024-1-8 10:36:09-debug: Run asset db hook programming:beforePreStart ...
2024-1-8 10:36:09-debug: Run asset db hook engine-extends:beforePreStart ...
2024-1-8 10:36:09-debug: Run asset db hook engine-extends:beforePreStart success!
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:09-debug: Run asset db hook programming:beforePreStart success!
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
2024-1-8 10:36:10-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
